    p        f0         f
    1      27.5      27.5
    2     29.14     29.14
    3     30.87     30.87
    4      32.7      32.7
    5     34.65     34.65
    6     36.71     36.71
    7     38.89     38.89
    8      41.2      41.2
    9     43.65     43.65
   10     46.25     46.25
   11      49.0      49.0
   12     51.91     51.91
   13      55.0      55.0
   14     58.27     58.27
   15     61.74     61.74
   16     65.41     65.41
   17      69.3      69.3
   18     73.42     73.42
   19     77.78     77.78
   20     82.41     82.41
   21     87.31     87.31
   22      92.5      92.5
   23      98.0      98.0
   24    103.83    103.83
   25     110.0     110.0
   26    116.54    116.54
   27    123.47    123.47
   28    130.81    130.81
   29    138.59    138.59
   30    146.83    146.83
   31    155.56    155.56
   32    164.81    164.81
   33    174.61    174.61
   34     185.0     185.0
   35     196.0     196.0
   36    207.65    207.65
   37     220.0     220.0
   38    233.08    233.08
   39    246.94    246.94
   40    261.63    261.63
   41    277.18    277.18
   42    293.66    293.66
   43    311.13    311.13
   44    329.63    329.63
   45    349.23    349.23
   46    369.99    370.07
   47     392.0     392.1
   48     415.3    415.44
   49     440.0    440.17
   50    466.16    466.36
   51    493.88    494.11
   52    523.25    523.51
   53    554.37    554.66
   54    587.33    587.67
   55    622.25    622.63
   56    659.26    659.69
   57    698.46    698.94
   58    739.99     740.7
   59    783.99    784.84
   60    830.61    831.61
   61     880.0    881.17
   62    932.33    933.69
   63    987.77    989.34
   64    1046.5   1048.32
   65   1108.73   1110.83
   66   1174.66   1177.09
   67   1244.51   1247.32
   68   1318.51   1321.76
   69   1396.91   1400.68
   70   1479.98   1484.65
   71   1567.98   1573.47
   72   1661.22   1667.63
   73    1760.0   1767.47
   74   1864.66   1873.33
   75   1975.53   1985.58
   76    2093.0   2104.62
   77   2217.46   2230.87
   78   2349.32   2364.78
   79   2489.02   2506.83
   80   2637.02   2657.52
   81   2793.83   2817.38
   82   2959.96   2987.64
   83   3135.96   3167.87
   84   3322.44    3359.1
   85    3520.0   3562.04
   86   3729.31   3777.42
   87   3951.07   4006.02
   88   4186.01   4248.68
